Title,Author,Year,Citation count,Open access,Funder,Institution,Countries count,Keyword
Antimicrobial and Anti-Inflammatory Activities of MAF-1-Derived Antimicrobial Peptide Mt6 and Its D-Enantiomer D-Mt6 against Acinetobacter baumannii by Targeting Cell Membranes and Lipopolysaccharide Interaction,Delong Kong|Xuan Hua|Rui Zhou|Jie Cui|Tao Wang|Fanyun Kong|Hongjuan You|Xiangye Liu|Joseph Adu‐Amankwaah|Guo Guo|Kuiyang Zheng|Jianwei Wu|Renxian Tang,2022,19,Open Access,China Postdoctoral Science Foundation|Priority Academic Program Development of Jiangsu Higher Education Institutions,Xuzhou Medical College|Guiyang Medical University,1,Antimicrobial|Acinetobacter baumannii|Antimicrobial peptides|Biofilm|Microbiology|Biology|Antibiotics|Bacteria|Pseudomonas aeruginosa
Surviving sepsis in the era of antibiotic resistance: Are there any alternative approaches to antibiotic therapy?,Divakara S. S. M. Uppu|Chandradhish Ghosh|Jayanta Haldar,2015,33,NOT Open Access,,Jawaharlal Nehru Centre for Advanced Scientific Research,1,Sepsis|Intensive care medicine|Antibiotics|Antibiotic resistance|Modalities|Medicine|Antimicrobial|Disease|Antibiotic therapy|Immunology|Biology|Internal medicine|Microbiology
A Novel Defensin-Like Peptide Associated with Two Other New Cationic Antimicrobial Peptides in Transcriptome of the Iranian Scorpion Venom,Masoumeh Baradaran|Amir Jalali|Maryam Naderi Soorki|Hamid Galehdari,2017,12,Open Access,Ahvaz Jundishapur University of Medical Sciences|Shahid Chamran University of Ahvaz,Ahvaz Jundishapur University of Medical Sciences|Shahid Chamran University of Ahvaz,1,Venom|Defensin|Scorpion|Antimicrobial peptides|Antimicrobial|Peptide|Transcriptome|Microbiology|Chemistry|Biology|Computational biology|Biochemistry|Gene
An active domain HF-18 derived from hagfish intestinal peptide effectively inhibited drug-resistant bacteria in vitro/vivo,Meiling Jiang|Xiaoqian Yang|Haomin Wu|Ya Huang|Jie Dou|Changlin Zhou|Lingman Ma,2019,24,NOT Open Access,National Natural Science Foundation of China|Ministry of Education of the People's Republic of China|State Administration of Foreign Experts Affairs|Natural Science Foundation of Jiangsu Province|National Key Research and Development Program of China,China Pharmaceutical University,1,Staphylococcus aureus|Antimicrobial|Antimicrobial peptides|Microbiology|In vivo|Peptide|Biology|Minimum inhibitory concentration|Antibiotics|Bacteria|Chemistry|Biochemistry
Short review on the potential alternatives to antibiotics in the era of antibiotic resistance,Arsene Mbarga Manga Joseph|Jorelle Adjele B. J.|S. Sarra|Viktorovna Podoprigora Irina|Davares Anyutoulou K. L.|Ingrid Ntadoum K. C.|Steve Azebaze A. F.|Smolyakova Larissa Andreevna|Vyacheslavovna Yashina Natalia|Carime Bassa Z.,2022,29,Open Access,RUDN University,,0,Antibiotics|Coliphage|Antibiotic resistance|Isolation (microbiology)|Microbiology|Biology|Medicine|Escherichia coli|Bacteriophage|Genetics
Deficient Lipid A Remodeling by the <i>arnB</i> Gene Promotes Biofilm Formation in Antimicrobial Peptide Susceptible <i>Pseudomonas aeruginosa</i>,Li-av Segev-Zarko|Gal Kapach|Michaele Josten|Yoel A. Klug|Hans‐Georg Sahl|Yechiel Shai,2018,13,NOT Open Access,German-Israeli Foundation for Scientific Research and Development|FP7 Health,Weizmann Institute of Science|University of Bonn,2,Biofilm|Mutant|Pseudomonas aeruginosa|Lipid A|Chemistry|Bacteria|Microbiology|Antimicrobial|Polysaccharide|Antimicrobial peptides|Peptide|Lipopolysaccharide|Wild type|Biophysics|Biochemistry|Cell biology|Biology|Gene
"Membrane mechanism of temporin-1CEc, an antimicrobial peptide isolated from the skin secretions of Rana chensinensis, and its systemic analogs",Fangyu Ji|Ying Zhao|Fengquan Jiang|Dejing Shang,2021,11,NOT Open Access,National Natural Science Foundation of China,Liaoning Normal University|Dalian Medical University|First Affiliated Hospital of Dalian Medical University,1,Antibacterial activity|Antimicrobial peptides|Staphylococcus epidermidis|Chemistry|Peptide|Antimicrobial|Hemolysis|Bacteria|Pathogenic bacteria|Escherichia coli|Microbiology|Biochemistry|Multiple drug resistance|Staphylococcus aureus|Antibiotics|Biology
"The Addition of a Synthetic LPS-Targeting Domain Improves Serum Stability While Maintaining Antimicrobial, Antibiofilm, and Cell Stimulating Properties of an Antimicrobial Peptide",Anna Maystrenko|Yulong Feng|Nadeem Akhtar|Julang Li,2020,13,Open Access,"Ontario Ministry of Agriculture, Food and Rural Affairs",University of Guelph,1,Antimicrobial|Antimicrobial peptides|Microbiology|Biofilm|Peptide|Antibiotics|Staphylococcus aureus|Chemistry|Escherichia coli|Trypsin|Bacteria|Biology|Biochemistry|Enzyme
Antimicrobial Peptides Epinecidin-1 and Beta-Defesin-3 Are Effective against a Broad Spectrum of Antibiotic-Resistant Bacterial Isolates and Increase Survival Rate in Experimental Sepsis,Albert Bolatchiev,2022,17,Open Access,Russian Science Foundation,Stavropol State Medical University,1,Meropenem|Klebsiella pneumoniae|Acinetobacter baumannii|Microbiology|Pseudomonas aeruginosa|Antimicrobial|Antibiotics|Sepsis|Staphylococcus aureus|Medicine|Antibiotic resistance|Biology|Escherichia coli|Bacteria|Internal medicine
Anti-biofilm and anti-inflammatory effects of Lycosin-II isolated from spiders against multi-drug resistant bacteria,Jun Hee Oh|Jonggwan Park|Yoonkyung Park,2021,18,NOT Open Access,"National Research Foundation of Korea|Ministry of Science and ICT, South Korea|Institute for Information and Communications Technology Promotion",Chosun University|Kongju National University,1,Microbiology|Antimicrobial|Pseudomonas aeruginosa|Bacteria|Staphylococcus aureus|Biofilm|Antibiotics|Biology|Multiple drug resistance|Lipoteichoic acid|Chemistry
Highly Potent Cationic Chitosan Derivatives Coupled to Antimicrobial Peptide Dendrimers to Combat <i>Pseudomonas aeruginosa</i>,Olivier Jordan|Bee‐Ha Gan|Sari Alwan|Karl Perron|Emmanuelle Sublet|Véréna Ducret|Hua Ye|Gerrit Borchard|Jean‐Louis Reymond|Viorica Patrulea,2024,10,Open Access,National Science Foundation|University of Bern|University of Oxford|Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung|Université de Genève|Centre Hospitalier Universitaire Vaudois,University of Geneva|HES-SO University of Applied Sciences and Arts Western Switzerland|University of Bern|University of Oxford,2,Dendrimer|Pseudomonas aeruginosa|Antimicrobial|Chitosan|Cationic polymerization|Peptide|Chemistry|Microbiology|Combinatorial chemistry|Bacteria|Organic chemistry|Biochemistry|Biology
Age of Antibiotic Resistance in MDR/XDR Clinical Pathogen of Pseudomonas aeruginosa,Ashish Kothari|RADHIKA SUNIL KHERDEKAR|Vishal Mago|Madhur Uniyal|Garima Mamgain|Roop Bhushan Kalia|Sandeep Kumar|Neeraj Jain|Atul Pandey|Balram Ji Omar,2023,30,Open Access,"Department of Science and Technology, Ministry of Science and Technology, India|Indian Council of Medical Research|Science and Engineering Research Board",All India Institute of Medical Sciences Rishikesh|Augusta University|Central Drug Research Institute|University of Kentucky,2,Pseudomonas aeruginosa|Antibiotic resistance|Antibiotics|Multiple drug resistance|Microbiology|Drug resistance|Antimicrobial|Pathogen|Medicine|Biology|Bacteria|Genetics
Unveiling novel antimicrobial peptides from the ruminant gastrointestinal microbiomes: A deep learning-driven approach yields an anti-MRSA candidate,Hong Shen|Yanru Li|Qingjie Pi|J. Y. Tian|Xiaofang Xu|Zan Huang|Jinhu Huang|Cong Pian|Shengyong Mao,2025,12,Open Access,Government of Jiangsu Province|Nanjing Agricultural University|Jiangsu Provincial Key Research and Development Program|National Key Research and Development Program of China|Major Science and Technology Project of Hainan Province,Jiangsu Academy of Agricultural Sciences|Nanjing Agricultural University|China Pharmaceutical University,1,Microbiome|Antimicrobial|Antimicrobial peptides|Microbiology|Biology|Bioinformatics
Insights into Emergence of Antibiotic Resistance in Acid-Adapted Enterohaemorrhagic Escherichia coli,Salma Waheed Sheikh|Ahmad Ali|Asma Ahsan|Sidra Shakoor|Fei Shang|Ting Xue,2021,29,Open Access,National Natural Science Foundation of China,Anhui Agricultural University|University of Central Punjab|Centre de Coopération Internationale en Recherche Agronomique pour le Développement,3,Antimicrobial|Antibiotic resistance|Multiple drug resistance|Efflux|Biology|Antibiotics|Escherichia coli|Microbiology|Drug resistance|Gene|Genetics
Potent Antimicrobial and Antibiofilm Activities of Feleucin-K3 Analogs Modified by α-(4-Pentenyl)-Ala against Multidrug-Resistant Bacteria,Xiaomin Guo|Tiantian Yan|Jing Rao|Yue Xin|Pei Xiong|Jiahui Deng|Wangsheng Sun|Wenle Yang|Bangzhi Zhang|Junqiu Xie,2021,17,Open Access,National Natural Science Foundation of China|Lanzhou Science and Technology Bureau,Chinese Academy of Medical Sciences & Peking Union Medical College|Lanzhou University,1,Antimicrobial|Antibiotics|Antimicrobial peptides|Biofilm|Multiple drug resistance|Bacteria|Microbiology|Antibiotic resistance|Chemistry|Biology
Enhancing the stability and therapeutic potential of the antimicrobial peptide Feleucin-K3 against Multidrug-Resistant a. Baumannii through rational utilization of a D-amino acid substitution strategy,Yingying An|Xiaomin Guo|Tiantian Yan|Yue Jia|Ruoyan Jiao|Xinyu Cai|Bochuan Deng|Guangjun Bao|Yiping Li|Wenle Yang|Rui Wang|Wangsheng Sun|Junqiu Xie,2024,16,NOT Open Access,,Chinese Academy of Medical Sciences & Peking Union Medical College|Lanzhou University,1,Antimicrobial|Acinetobacter baumannii|Multiple drug resistance|Antimicrobial peptides|Microbiology|Antibiotic resistance|Phenylalanine|Amino acid|Chemistry|Peptide|Antibiotics|Biology|Pharmacology|Biochemistry|Bacteria|Pseudomonas aeruginosa
"Methicillin-resistant Staphylococcus pseudintermedius: epidemiological changes, antibiotic resistance, and alternative therapeutic strategies",Francesca Paola Nocera|Luisa De Martino,2024,37,Open Access,Università degli Studi di Napoli Federico II,University of Naples Federico II,1,Staphylococcus pseudintermedius|Antimicrobial|Antibiotic resistance|Multiple drug resistance|Antibiotics|Population|Medicine|Microbiology|Drug resistance|Staphylococcus aureus|Methicillin-resistant Staphylococcus aureus|Biology|Intensive care medicine|Staphylococcus|Bacteria|Environmental health
Antimicrobial activity of natural products against MDR bacteria: A scientometric visualization analysis,Yanxi Zhou|Xiao-Yu Cao|Cheng Peng,2022,14,Open Access,Chengdu University of Traditional Chinese Medicine|Chengdu University,Chengdu University of Traditional Chinese Medicine,1,Web of science|Antimicrobial|Natural product|Data science|Biology|Biotechnology|Computer science|Microbiology|MEDLINE
Fish-derived cationic antimicrobial peptide piscidin 1 exerts broad-spectrum bactericidal activities against multidrug-resistant Gram-negative pathogens,Huarun Sun|Jingao Zhang|Xiaolu Li|Haolei Gao|Chengshui Liao|Ruibiao Wang|Bo Wen|Weiyu Luo|Wei Zhang|Chunling Zhu|Yuliang Wen|Longfei Zhang|Xuehan Liu|Jiyuan Shen|Yundi Wu|Xilong Wu|Hao Li|Jianhe Hu|Yueyu Bai|Huihui Zhang|Ke Ding|Lei Wang,2024,12,Open Access,,Ministry of Education of the People's Republic of China|Henan Institute of Science and Technology|Henan University of Science and Technology|Hainan University|Chinese Academy of Agricultural Sciences|Farmland Irrigation Research Institute|,1,Antimicrobial|Multiple drug resistance|Microbiology|Broad spectrum|Gram|Fish <Actinopterygii>|Antimicrobial peptides|Peptide|Biology|Antibiotics|Chemistry|Bacteria|Combinatorial chemistry|Fishery|Genetics|Biochemistry
"BING, a novel antimicrobial peptide isolated from Japanese medaka plasma, targets bacterial envelope stress response by suppressing cpxR expression",Miao Dong|Shu Hin Kwok|Joseph L. Humble|Yimin Liang|Sze Wing Tang|Kin Hung Tang|Man‐Kit Tse|Josh Haipeng Lei|Rajkumar Ramalingam|Mohamad Koohi‐Moghadam|Doris W.T. Au|Hongyan Sun|Yun Wah Lam,2021,12,Open Access,City University of Hong Kong|Health and Medical Research Fund,City University of Hong Kong|University of Glasgow|University of Macau|University of Hong Kong,3,Envelope (radar)|Antimicrobial|Peptide|Expression (computer science)|Protein expression|Antimicrobial peptides|Biology|Fight-or-flight response|Cell biology|Microbiology|Genetics|Biochemistry|Gene|Computer science
Antimicrobial Peptides Originating from Expression Libraries of Aurelia aurita and Mnemiopsis leidyi Prevent Biofilm Formation of Opportunistic Pathogens,Lisa Ladewig|Leon Gloy|Daniela Langfeldt|Nicole Pinnow|Nancy Weiland‐Bräuer|Ruth A. Schmitz,2023,10,Open Access,Deutsche Forschungsgemeinschaft|Bundesministerium für Bildung und Forschung,Christian-Albrechts-Universität zu Kiel,1,Biofilm|Klebsiella oxytoca|Microbiology|Antimicrobial peptides|Biology|Antimicrobial|Aurelia aurita|Staphylococcus epidermidis|Escherichia coli|Innate immune system|Pseudomonas aeruginosa|Bacteria|Staphylococcus aureus|Klebsiella pneumoniae|Biochemistry|Jellyfish|Gene
Antibiotic Resistance of Staphylococcus aureus Strains—Searching for New Antimicrobial Agents—Review,Michał Michalik|Adrianna Podbielska‐Kubera|Agnieszka Dmowska-Koroblewska,2025,31,Open Access,,,0,Antibiotics|Antimicrobial|Antibiotic resistance|Staphylococcus aureus|Microbiology|Lysin|Context (archaeology)|Methicillin-resistant Staphylococcus aureus|Phage therapy|Biology|Medicine|Bacteria|Bacteriophage|Escherichia coli
Designing double-site lipidated peptide amphiphiles as potent antimicrobial biomaterials to combat multidrug-resistant bacteria,Zhenheng Lai|Hongyu Chen|Xiaojie Yuan|Jiahui Tian|Na Dong|Xingjun Feng|Anshan Shan,2022,12,Open Access,National Natural Science Foundation of China|Natural Science Foundation of Heilongjiang Province,Northeast Agricultural University,1,Antimicrobial|Multiple drug resistance|Antimicrobial peptides|Bacteria|Peptide|Antibiotics|Antibiotic resistance|Amphiphile|Microbiology|Proteases|Biology|Chemistry|Biochemistry
Innovative approaches to combat antibiotic resistance: integrating CRISPR/Cas9 and nanoparticles against biofilm-driven infections,Abolfazl Saffari Natanzi|Mohsen Poudineh|Elham Karimi|Azad Khaledi|Hamed Haddad Kashani,2025,39,Open Access,Kashan University of Medical Sciences,Kashan University of Medical Sciences|Isfahan University of Medical Sciences|Tarbiat Modares University,1,CRISPR|Medicine|Biofilm|Antibiotic resistance|Antibiotics|Microbiology|Computational biology|Bacteria|Genetics|Gene|Biology
The novel cathelicidin-DM antimicrobial peptide conjugated carbomer and thermosensitive chitosan hydrogel speeds up wound-healing in both non-infected and S. aureus-infected wounds,Guixi Wang|Yafei Huang|Yaoqiang Shi|Qinqin Han|Jinyang Zhang|Yuzhu Song|Chao Li,2024,13,NOT Open Access,Yunnan Provincial Science and Technology Department|Major Science and Technology Projects in Yunnan Province,Kunming University of Science and Technology|First People's Hospital of Yunnan Province,1,Cathelicidin|Self-healing hydrogels|Antimicrobial peptides|Wound healing|Antimicrobial|Microbiology|Antibiotics|Chitosan|Chemistry|Peptide|Pharmacology|Medicine|Immunology|Biology|Biochemistry
Multifunctional Properties of BMAP-18 and Its Aliphatic Analog against Drug-Resistant Bacteria,Ishrat Jahan|S. Dinesh Kumar|Song Yub Shin|Song Yub Shin|Chul Won Lee|Sung‐Heui Shin|Sung‐Heui Shin|Sung‐Tae Yang,2023,11,Open Access,"National Research Foundation|Chosun University|National Research Foundation of Korea|Ministry of Science and ICT, South Korea",Chosun University|Chonnam National University,1,Antimicrobial|Chemistry|Microbiology|Pseudomonas aeruginosa|Bacteria|Staphylococcus aureus|Multiple drug resistance|Antibiotics|Antimicrobial peptides|Pharmacology|Biology
"Efficacy of ARV-1502, a Proline-Rich Antimicrobial Peptide, in a Murine Model of Bacteremia Caused by Multi-Drug Resistant (MDR) Acinetobacter baumannii",Yan Q. Xiong|Liang Li|Yufeng Zhou|Carl Kraus,2019,10,Open Access,National Institutes of Health,"University of California, Los Angeles|The Lundquist Institute|Harbor–UCLA Medical Center|Triangle",1,Acinetobacter baumannii|Bacteremia|Medicine|Antimicrobial|Imipenem|Antibiotics|Carbapenem|Drug|Drug resistance|Pharmacology|Multiple drug resistance|Microbiology|Antibiotic resistance|Bacteria|Biology|Pseudomonas aeruginosa
Synthetic Antimicrobial Peptide Polybia MP-1 (Mastoparan) Inhibits Growth of Antibiotic Resistant Pseudomonas aeruginosa Isolates From Mastitic Cow Milk,Pallavi Shah|Sameer Shrivastava|Raj Kumar Singh|Purnima Gogoi|Sonal Saxena|Saumya Srivastava|Naveen Kumar|Gyanendra Kumar Gaur,2021,11,NOT Open Access,,Indian Veterinary Research Institute,1,Microbiology|Antimicrobial|Ceftazidime|Amikacin|Biology|Pseudomonas aeruginosa|Imipenem|Antibiotics|Antibiotic resistance|Bacteria
Sustained release of alginate hydrogel containing antimicrobial peptide Chol-37(F34-R) <i>in vitro</i> and its effect on wound healing in murine model of <i>Pseudomonas aeruginosa</i> infection,Shuaibing Shi|Hefan Dong|Xiaoyou Chen|Siqi Xu|Yue Song|Meiting Li|Zhiling Yan|Xiaoli Wang|Mingfu Niu|Min Zhang|Chengshui Liao,2023,17,Open Access,National Natural Science Foundation of China|Henan University of Science and Technology,Henan University of Science and Technology|Jiaozuo University,1,Antimicrobial|Self-healing hydrogels|In vivo|Wound healing|Antimicrobial peptides|Microbiology|Antibacterial activity|Pseudomonas aeruginosa|Antibiotics|Granulation tissue|In vitro|Chemistry|Pharmacology|Bacteria|Biochemistry|Medicine|Biology|Immunology
Development of antimicrobial therapy methods to overcome the antibiotic resistance of Acinetobacter baumannii,О. V. Kisil|Tatiana A. Efimenko|N. I. Gabrielyan|Olga V. Efremenkova,2020,22,Open Access,,Gause Institute of New Antibiotics Russian Academy of Medical Sciences|V.I.Shumakov Federal Research Center of Transplantology and Artificial Organs,1,Acinetobacter baumannii|Antibiotics|Antibiotic resistance|Antimicrobial|Microbiology|Pathogenic bacteria|Biofilm|Drug resistance|Biology|Bacteria|Pseudomonas aeruginosa
Bioproduction and Characterization of Epinecidin-1 and Its Variants Against Multi Drug Resistant Bacteria Through In Silico and In Vitro Studies,Sivakumar Jeyarajan|Aswathy Sathyan|Ansu Susan Peter|Sukumar Ranjith|Senbagam Duraisamy|Suriya Muthukumaran Natarajaseenivasan|Chidambaram Prahalathan|Anbarasu Kumarasamy,2023,14,NOT Open Access,Indian Council of Medical Research|Tamil Nadu State Council for Higher Education,Bharathidasan University|University of Michigan–Ann Arbor,2,Enteropeptidase|Biology|Escherichia coli|Antimicrobial peptides|Recombinant DNA|Antimicrobial|Fusion protein|Microbiology|Peptide|Biochemistry|Gene
Evolutionary and in silico guided development of novel peptide analogues for antibacterial activity against ESKAPE pathogens,Manjul Lata|Vrushti Telang|Pooja Gupta|Garima Pant|Kalyan Mitra|Jesu Arockiaraj|Mukesh Pasupuleti,2023,10,Open Access,"Department of Biotechnology, Ministry of Science and Technology, India|Council of Scientific and Industrial Research, India",Academy of Scientific and Innovative Research|Central Drug Research Institute|SRM Institute of Science and Technology,1,Antimicrobial|In silico|Antimicrobial peptides|Context (archaeology)|Computational biology|Pseudomonas aeruginosa|Peptide|Chemistry|Biology|Microbiology|Bacteria|Biochemistry
A novel cysteine-free venom peptide with strong antimicrobial activity against antibiotics-resistant pathogens from the scorpion<i>Opistophthalmus glabrifrons</i>,Aorigele Bao|Jie Zhong|Xian‐Chun Zeng|Yao Nie|Lei Zhang|Zhao Feng Peng,2015,14,NOT Open Access,Fundamental Research Funds for the Central Universities,China University of Geosciences,1,Scorpion|Venom|Antimicrobial|Antibiotics|Peptide|Antimicrobial peptides|Microbiology|Chemistry|Biology|Biochemistry
Antimicrobial and Antibiofilm Peptides,Angela Di Somma|Antonio Moretta|Carolina Canè|Arianna Cirillo|Angela Duilio,2020,252,Open Access,"Ministero dell’Istruzione, dell’Università e della Ricerca",Istituto Nazionale Biostrutture e Biosistemi|University of Naples Federico II|University of Basilicata|Ceinge Biotecnologie Avanzate (Italy),1,Biofilm|Antimicrobial|Quorum sensing|Antimicrobial peptides|Microbiology|Bacteria|Antibiotic resistance|Antibiotics|Biology|Chemistry
"Design, synthesis and biological evaluation of amphiphilic benzopyran derivatives as potent antibacterial agents against multidrug-resistant bacteria",Fangquan Liu|Siyu Yang|Lei Zhang|Meiyue Zhang|Ying Bi|Shuo Wang|Xuekun Wang|Yinhu Wang,2024,10,NOT Open Access,National Natural Science Foundation of China,Liaocheng University,1,Chemistry|Bacteria|Benzopyran|Antibacterial agent|Antibacterial activity|Amphiphile|Multiple drug resistance|Combinatorial chemistry|Chemical synthesis|Biological activity|In vitro|Microbiology|Stereochemistry|Antibiotics|Biochemistry|Organic chemistry|Biology
Cryptides Identified in Human Apolipoprotein B as New Weapons to Fight Antibiotic Resistance in Cystic Fibrosis Disease,Rosa Gaglione|Angela Cesaro|Eliana Dell’Olmo|Rocco Di Girolamo|Luca Tartaglione|Elio Pizzo|Angela Arciello,2020,29,Open Access,Fondazione per la Ricerca sulla Fibrosi Cistica,Istituto Nazionale Biostrutture e Biosistemi|University of Naples Federico II,1,Antibiotics|Microbiology|Biofilm|Ciprofloxacin|Antimicrobial|Antibiotic resistance|Cystic fibrosis|Broth microdilution|Multiple drug resistance|Biology|Pseudomonas aeruginosa|Bacteria|Minimum inhibitory concentration
Antimicrobial peptide human β-defensin-2 improves in vitro cellular viability and reduces pro-inflammatory effects induced by enteroinvasive Escherichia coli in Caco-2 cells by inhibiting invasion and virulence factors’ expression,Alessandra Fusco|Vittoria Savio|Brunella Perfetto|R. Mattina|Giovanna Donnarumma,2022,15,Open Access,,"University of Campania ""Luigi Vanvitelli""|University of Milan",1,Microbiology|Biology|Virulence|Defensin|Antimicrobial peptides|Antimicrobial|Antibiotic resistance|Escherichia coli|Proinflammatory cytokine|Antibiotics|Secretion|Intestinal epithelium|Immune system|Virulence factor|Innate immune system|Type three secretion system|Immunology|Inflammation|Gene|Epithelium|Genetics
"A promising antibiotic candidate, brevinin-1 analogue 5R, against drug-resistant bacteria, with insights into its membrane-targeting mechanism",Wanchen Zou|Ruize Sun|Aifang Yao|Mei Zhou|Xiaoling Chen|Chengbang Ma|Tao Wang|Yangyang Jiang|Tianbao Chen|Chris Shaw|Lei Wang,2023,12,Open Access,Queen's University Belfast|Queen's University,Queen's University Belfast,1,Antimicrobial|Antimicrobial peptides|Streptococcus pyogenes|Biofilm|Chemistry|Antibiotics|Microbiology|Bacteria|Peptide|Biochemistry|Biology|Staphylococcus aureus
Alternative lipid synthesis in response to phosphate limitation promotes antibiotic tolerance in Gram-negative ESKAPE pathogens,Roberto Jhonatan Olea‐Ozuna|Melanie J. Campbell|Samantha Y. Quintanilla|Sinjini Nandy|Jennifer S. Brodbelt|Joseph M. Boll,2025,10,Open Access,Welch Foundation|National Institutes of Health|National Institute of General Medical Sciences|National Institute of Allergy and Infectious Diseases,The University of Texas at Dallas|The University of Texas at Austin,1,Microbiology|Lipid A|Colistin|Chemistry|Biochemistry|Multidrug tolerance|Bacteria|Polymyxin|Lipid bilayer|Acinetobacter baumannii|Biology|Biofilm|Antibiotics|Pseudomonas aeruginosa|Membrane
Recent development and fighting strategies for lincosamide antibiotic resistance,Yingying Yang|Shiyu Xie|Fang-Jing He|Yindi Xu|Zhifang Wang|Awais Ihsan|Xu Wang,2024,15,Open Access,National Natural Science Foundation of China|Fundamental Research Funds for the Central Universities,Huazhong Agricultural University|Henan Academy of Agricultural Sciences|COMSATS University Islamabad,2,Antibiotics|Microbiology|Antibiotic resistance|Biology|Bacteria|Medicine|Genetics
Rapid eradication of vancomycin and methicillin-resistant Staphylococcus aureus by MDP1 antimicrobial peptide coated on photocrosslinkable chitosan hydrogel: in vitro antibacterial and in silico molecular docking studies,Sarvenaz Ekhtiari-Sadegh|Saeed Samani|Farnoosh Barneh|Shirin Dashtbin|Mohammad Ali Shokrgozar|Kamran Pooshang Bagheri,2024,10,Open Access,Pasteur Institute of Iran,Pasteur Institute of Iran|Biotechnology Research Center|Tehran University of Medical Sciences|Iran University of Medical Sciences|Iran Banking Institute,1,Chemistry|Staphylococcus aureus|Microbiology|Vancomycin|Antibacterial activity|Dermal fibroblast|Lysozyme|Methicillin-resistant Staphylococcus aureus|Antimicrobial|Biofilm|Antibiotics|Bacteria|In vitro|Fibroblast|Biochemistry|Biology
Antibiotic Resistance to Mycobacterium tuberculosis and Potential Use of Natural and Biological Products as Alternative Anti-Mycobacterial Agents,Roberto Arrigoni|Andrea Ballini|Skënder Topi|Lucrezia Bottalico|Emilio Jirillo|Luigì Santacroce,2022,27,Open Access,,"Institute of Biomembranes, Bioenergetics and Molecular Biotechnologies|University of Campania ""Luigi Vanvitelli""|University of Elbasan|University of Bari Aldo Moro",2,Mycobacterium tuberculosis|Microbiology|Rifampicin|Tuberculosis|Antibiotics|Pyrazinamide|Immune system|Antibiotic resistance|Isoniazid|Drug resistance|Mycobacterium|Antimicrobial|Efflux|Biology|Medicine|Immunology
Polydim-I antimicrobial activity against MDR bacteria and its model membrane interaction,Marisa Rangel|Fabíola Fernandes dos Santos Castro|Lilian Daiene Mota-Lima|Patrı́cia Bianca Clissa|Danubia Batista Martins|Marcia Perez dos Santos Cabrera|Márcia Renata Mortari,2017,10,Open Access,Fundação de Amparo à Pesquisa do Estado de São Paulo|Coordenação de Aperfeiçoamento de Pessoal de Nível Superior|Conselho Nacional de Desenvolvimento Científico e Tecnológico,Universidade de Brasília|Instituto Butantan|Universidade Estadual Paulista (Unesp),1,Antimicrobial|Bacteria|Antimicrobial peptides|Drug|Microbiology|Drug resistance|Chemistry|Circular dichroism|Mechanism of action|Biology|In vitro|Biochemistry|Pharmacology
Polymeric Nanohybrids Engineered by Chitosan Nanoparticles and Antimicrobial Peptides as Novel Antimicrobials in Food Biopreservatives: Risk Assessment and Anti-Foodborne Pathogen <i>Escherichia coli</i> O157:H7 Infection by Immune Regulation,Haitao Yu|Jiaqi Zhang|Ming-chao Sun|Han Chen|Xiumei Shi|Fuping You|Shiyan Qiao,2022,13,NOT Open Access,National Natural Science Foundation of China|Ministry of Science and Technology of the People's Republic of China|China Postdoctoral Science Foundation|Peking University,Peking University|Chinese Academy of Agricultural Sciences|Institute of Animal Sciences|Ministry of Agriculture and Rural Affairs|China Agricultural University,1,Antimicrobial|Antibiotics|Immune system|Escherichia coli|Microbiology|Antimicrobial peptides|Biology|Pathogen|Immunology
Broad-spectrum activity of membranolytic cationic macrocyclic peptides against multi-drug resistant bacteria and fungi,Sandeep Lohan|Anastasia G. Konshina|Rakesh Kumar Tiwari|Roman G. Efremov|Innokentiy Maslennikov|Keykavous Parang,2024,10,Open Access,"Chapman University|Ministry of Education and Science of the Russian Federation|National Research University Higher School of Economics|Ministry of Science and Higher Education of the Russian Federation|National Institutes of Health|University of California, Irvine",Target (United States)|Chapman University|Institute of Bioorganic Chemistry|Pacific Northwest University of Health Sciences|Western University of Health Sciences|National Research University Higher School of Economics,2,Bacteria|Broad spectrum|Microbiology|Cationic polymerization|Chemistry|Biology|Stereochemistry|Combinatorial chemistry|Organic chemistry
Wasp Venom Peptide (Polybia MP-1) Shows Antimicrobial Activity Against Multi Drug Resistant Bacteria Isolated from Mastitic Cow Milk,Pallavi Shah|Sameer Shrivastava|Purnima Gogoi|Sonal Saxena|Saumya Srivastava|Raj Kumar Singh|Basant Godara|Naveen Kumar|Gyanendra Kumar Gaur,2022,15,NOT Open Access,,Indian Veterinary Research Institute,1,Microbiology|Antimicrobial|Staphylococcus aureus|Mastitis|Biology|Antimicrobial peptides|Antibiotics|Bacteria|Klebsiella pneumoniae|Escherichia coli
